proteinA	proteinB
yfgB	yfgB
ygiF	yfgB
yhiR	yfgB
rcsB	yfgM
elaC	yfhA
bolA	yfhL
hisF	yfhL
holA	yfhL
minD	yfhL
trxA	yfhL
yfdQ	yfhQ
frr	yfiA
yfiA	yfiA
murG	yfiF
ybcY	yfiM
accD	yfiO
atoA	yfiO
dnaJ	yfiQ
groL	yfiQ
rne	yfiQ
rplO	yfiQ
ulaR	yfiQ
yagX	yfiQ
ybgH	yfiQ
lolE	yfjD
groL	yfjK
groL	yfjN
dusC	yfjW
groL	ygaF
bolA	ygaV
cytR	ygaV
nikR	ygaV
NoData	ygaV
parE	ygbK
groL	ygbM
astE	ygbT
bioB	ygbT
glnA	ygbT
rbsA	ygbT
sufS	ygbT
udk	ygbT
ybcY	ygbT
yedV	ygbT
ygbT	ygbT
ygiT	ygbT
ygjR	ygbT
yihP	ygbT
rplB	ygcF
yggL	ygcL
dnaK	ygcP
citB	ygcQ
ygcQ	ygcR
ykgK	ygcR
groL	ygdH
csdA	ygdK
nadE	ygdK
groL	ygeA
nudG	ygeA
groL	ygeH
tufB	ygeV
ybdM	ygeV
ygeV	ygeV
lpd	ygfF
nadE	ygfH
groL	ygfJ
lrhA	ygfK
entA	ygfY
sdhA	ygfY
ydiB	yggG
flgC	yggH
flgM	yggH
carA	yggM
groL	yggR
yggR	yggR
aat	yggX
pepD	yggX
hyaD	yghF
frlD	yghK
proA	yghO
pheT	yghQ
groL	yghT
groL	yghZ
sufI	yghZ
yfbN	yghZ
aceF	ygiF
cbpA	ygiF
ompC	ygiF
phoE	ygiF
araC	ygiL
aroB	ygiL
aroF	ygiL
galE	ygiL
galK	ygiL
glgX	ygiL
glxR	ygiL
hcaD	ygiL
hyi	ygiL
kdsD	ygiL
kptA	ygiL
mmuM	ygiL
murA	ygiL
mutT	ygiL
pdxA	ygiL
rluA	ygiL
thiL	ygiL
trpC	ygiL
uhpA	ygiL
yaiE	ygiL
yciX	ygiL
ydiU	ygiL
yifE	ygiL
yohC	ygiL
ytfB	ygiL
nadE	ygiN
yedO	ygiP
alkB	ygiT
ampE	ygiT
citE	ygiT
clpA	ygiT
cyaA	ygiT
cytR	ygiT
eptB	ygiT
era	ygiT
hda	ygiT
hemL	ygiT
ilvI	ygiT
infA	ygiT
ispB	ygiT
lpxB	ygiT
mltB	ygiT
moaD	ygiT
obgE	ygiT
pbpG	ygiT
pepT	ygiT
pheS	ygiT
putP	ygiT
rbsA	ygiT
rbsR	ygiT
rcsB	ygiT
rihC	ygiT
rpmE	ygiT
rpoE	ygiT
sixA	ygiT
yaiE	ygiT
ybfE	ygiT
ydcJ	ygiT
yecI	ygiT
yegL	ygiT
yehI	ygiT
yfeS	ygiT
yfgD	ygiT
ygiT	ygiT
ygjR	ygiT
yihL	ygiT
yjgZ	ygiT
prfB	ygjD
tufB	ygjD
yeaZ	ygjD
ygjD	ygjD
clpA	ygjG
clpP	ygjG
clpS	ygjG
deoA	ygjK
pbpG	ygjM
ygjM	ygjN
yeeI	ygjO
dmsA	ygjR
mpl	yhaK
yhaJ	yhaK
bglF	yhbC
yehI	yhbC
ygeV	yhbC
dnaN	yhbH
rplB	yhbJ
aceF	yhbU
groL	yhbU
tufB	yhbU
yhbU	yhbV
ygfB	yhbY
cysM	yhcA
nadE	yhcA
sfcA	yhcA
ftsZ	yhcH
groL	yhcM
ccmA	yhcO
ppk	yhcO
yeiW	yhcO
yfjK	yhcO
rpsH	yhdH
accD	yhdJ
argK	yhdJ
aroE	yhdJ
astE	yhdJ
cheW	yhdJ
cyaA	yhdJ
elbB	yhdJ
envR	yhdJ
era	yhdJ
glyQ	yhdJ
groL	yhdJ
hepA	yhdJ
ispH	yhdJ
mhpF	yhdJ
mukE	yhdJ
ptsN	yhdJ
rbsA	yhdJ
rnk	yhdJ
rpoE	yhdJ
sgbE	yhdJ
speE	yhdJ
ybcY	yhdJ
ybdO	yhdJ
ybgF	yhdJ
yceP	yhdJ
ycgR	yhdJ
ydfT	yhdJ
yebC	yhdJ
yfgD	yhdJ
ygfB	yhdJ
ygiT	yhdJ
yiaJ	yhdJ
yrdD	yhdJ
dnaK	yhdN
yadB	yhdP
accC	yhdY
groL	yhdZ
cbpA	yheM
tufB	yheS
fic	yhfG
malT	yhfW
xseA	yhfW
valS	yhgF
yhgF	yhgF
ftsA	yhhA
yhhA	yhhA
dnaK	yhhF
tufB	yhhF
atpA	yhhI
yigP	yhhW
dnaK	yhhX
groL	yhiF
murE	yhiJ
sgbE	yhiJ
yrbL	yhiJ
groL	yhiL
phnK	yhiN
rluB	yhiN
ubiD	yhiN
yncC	yhiN
groL	yhiR
holC	yhiR
yihI	yhiR
atpG	yhjB
groL	yhjB
metN	yhjB
mntR	yhjB
groL	yhjH
hscC	yhjK
yiaF	yiaC
flhE	yiaD
yjeK	yiaD
lpxB	yiaF
mscS	yiaF
murC	yiaH
yiaH	yiaH
holA	yiaI
yibA	yibA
lacZ	yibF
chpA	yibL
dnaJ	yicC
tufB	yicC
groL	yicI
narL	yicI
lldD	yicR
ycdP	yidA
ftsQ	yidC
secA	yidC
parE	yidK
groL	yidP
groL	yidZ
yeeI	yieM
yodA	yieM
cadA	yieN
frdA	yieN
intQ	yieN
ldcC	yieN
tufB	yieN
ygjR	yigZ
rpsD	yihD
rplR	yihI
yhbC	yihI
groL	yihR
holA	yiiF
gloA	yiiL
fixB	yiiM
gss	yiiM
rho	yiiM
yiiM	yiiM
yfcN	yijO
caiB	yjaA
fhuC	yjaA
rpsE	yjaB
kdsB	yjaH
yeeI	yjbD
frr	yjbJ
nadE	yjbJ
purC	yjbR
prfB	yjcF
ydeP	yjcP
pheT	yjcQ
yeaJ	yjcQ
yjcQ	yjcQ
cysB	yjdA
hcr	yjdI
hpt	yjdI
hupA	yjdI
trxB	yjdJ
prsA	yjeB
yeaZ	yjeE
yjeE	yjeE
aceF	yjeF
mcrB	yjeF
dhaH	yjeH
ybgD	yjeJ
yejG	yjeJ
cheR	yjeK
fliI	yjeK
fliM	yjeK
fliN	yjeK
rpoE	yjeK
tig	yjeK
groL	yjeS
pcm	yjfI
yabP	yjfI
yjfI	yjfI
yneG	yjfI
ypjF	yjfI
cbpA	yjfK
fhuC	yjfP
groL	yjfZ
glnB	yjgD
rne	yjgD
pta	yjgH
ileS	yjgL
rbsB	yjgL
ybhK	yjgL
yhjJ	yjgR
yjhC	yjhC
yjhG	yjhG
bolA	yjhI
NoData	yjhI
ppx	yjhI
ydaG	yjhI
gabT	yjhP
groL	yjhP
lepA	yjhP
fklB	yjhV
groL	yjiC
groL	yjiE
groL	yjiR
atpA	yjiT
entF	yjiT
evgA	yjiT
galE	yjiT
metR	yjiT
mhpB	yjiT
mhpF	yjiT
rluA	yjiT
trpC	yjiT
truA	yjiT
ydiU	yjiT
ygiT	yjiT
yhhW	yjiT
yhiQ	yjiT
dnaK	yjjI
nadE	yjjK
groL	yjjU
yjjU	yjjU
tufB	yjjV
bolA	yjjW
citB	yjjW
ftsN	yjjW
galE	yjjW
gnsA	yjjW
hcaD	yjjW
ilvN	yjjW
ldcA	yjjW
minC	yjjW
modE	yjjW
murI	yjjW
mutM	yjjW
NoData	yjjW
suhB	yjjW
xerC	yjjW
yabP	yjjW
yaiE	yjjW
yaiI	yjjW
ycgL	yjjW
ydaG	yjjW
yfhA	yjjW
ygiZ	yjjW
yhgG	yjjW
yhiQ	yjjW
ymbA	yjjW
cedA	ykfG
dinD	ykfI
idnK	ykfI
yeeI	ykfI
ligA	ykgC
elbB	ykgM
yciU	ykgM
alkB	ykgN
citB	ykgN
citC	ykgN
citE	ykgN
citX	ykgN
dnaG	ykgN
eptB	ykgN
era	ykgN
fliM	ykgN
gutQ	ykgN
hcr	ykgN
holA	ykgN
hpt	ykgN
hslR	ykgN
hybG	ykgN
hypE	ykgN
kdsB	ykgN
lysA	ykgN
lysR	ykgN
mhpF	ykgN
moaE	ykgN
murE	ykgN
recD	ykgN
recJ	ykgN
rpoE	ykgN
sgcA	ykgN
soxR	ykgN
ubiF	ykgN
ubiG	ykgN
uvrB	ykgN
yaiA	ykgN
ycbC	ykgN
ydcJ	ykgN
ydcY	ykgN
ydhK	ykgN
yedD	ykgN
yedJ	ykgN
yedS	ykgN
yehI	ykgN
yeiC	ykgN
yffI	ykgN
ygjD	ykgN
yjgZ	ykgN
rpmE	yliG
yijD	yliG
yqcB	yliG
rplB	yliJ
yliJ	yliJ
yliL	yliL
holA	ymcB
insO	ymcB
yibT	ymcB
metQ	ymcD
fic	ymdC
rluB	ymfC
holA	ymgB
ymgF	ymgF
maeB	ynbB
holD	ynbC
sbcC	ynbC
glmS	ynbD
lplA	yncE
fucA	yneK
aceE	ynfB
bioC	ynfC
clpB	ynfC
glgX	ynfC
ycbQ	ynfC
yggU	ynfC
yhfU	ynfC
yiiS	ynfC
yjgZ	ynfC
ribD	ynfD
dnaE	ynfE
folC	ynfF
argK	ynfK
pdxA	ynfK
ymfC	ynfK
dnaA	ynhG
mog	yniC
holC	yoaA
tufB	yoaA
lolE	yoaE
cysM	yodA
NoData	yodA
NoData	yodA
sfcA	yodA
sixA	yodA
yfgD	yodA
ygbF	yodA
ygiT	yodA
yhhL	yodA
yigL	yodA
yihD	yodA
yiiT	yodA
yjfN	yodA
yciT	yodD
yebV	yodD
yefM	yoeB
glmS	yohD
atpH	yohL
emtA	yohL
hslR	yohL
rffT	yohL
gadB	yohN
sixA	yohN
ybiS	yohN
yfeS	yohN
groL	ypdB
groL	ypdC
mioC	ypdC
rhaS	ypdC
rpoD	ypdC
ypdC	ypdC
aceE	ypdD
groL	ypdF
yfiQ	ypeA
yedR	ypfE
fusA	ypfH
yadB	ypjA
atpG	ypjF
def	ypjF
gidB	ypjF
idnK	ypjF
mtlR	ypjF
ptsN	ypjF
sspB	ypjF
ybjN	ypjF
ygfB	ypjF
ygjM	ypjF
yhcF	ypjF
groL	yqaB
galE	yqcC
parE	yqcE
htpG	yqeB
yqeF	yqeF
trpC	yqeH
ydiU	yqeH
dxs	yqeI
infA	yqhC
lolE	yqhC
lpxB	yqhC
ybgI	yqhD
abgA	yqiC
livF	yqiC
priC	yqiC
aceF	yraL
yfcX	yraM
aceF	yraN
ucpA	yraQ
groL	yrbF
rnpA	yrbF
nadE	yrbK
manA	yrdC
murD	yrfB
groL	ytfM
glgC	ytfN
xylG	ytfP
murC	ytfT
ycfX	zntR
zraS	zraR
dnaN	zwf
